gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
backi,FALSE,,@1は@2《属性》によって特徴付けられる@3によって強調される,強調される,@1 is characterized by @2 (ka) emphasized by @3,強調されるもの,強調を特徴付ける性質,強調するもの,,,,,,,,,,,,,DF(D+F),もの,属性,もの・こと,-,-
bacru,TRUE,,@1は@2〈声〉を発する,発声する、鳴く？,@1 utters verbally/says/phonates/speaks [vocally makes sound] @2.,発声する者、声を上げる者,声、音、音声,,,,,-ba'u-,,意思疎通や話し相手がいなくても {bacru} を使うことができます。基本的に心理的に人であれば {bacru} を使うことができます。また、声帯を持っていれば 、{bacru} が使われることがあります。例えば、鳥に {bacru} が使われるかもしれません。また、火星人が火星語を喋る場合、声帯を持っておらず未知の方法で話していたとしても、 {bacru} が使われる可能性があります。,,,,,口走るバシル,,,,,,,
badna,TRUE,生物、植物,@1は@2〈種類〉のバナナ［バショウ科］である,バナナ、バショウ科,@1 is a banana/plantain [fruit/plant] of species/breed @2.,バナナ、バショウ科,バナナの種類・品種,,,,,,,バショウ科（Musaceae）にはエンセーテ属（Ensete）、バショウ属（Musa）、ムセーラ属（Musella）などの属があります。また、果実を野菜や果物として利用するバナナや、繊維作物として栽培されるバショウ（M. basjoo）、マニラアサ（M. textilis）を含みます。2020年現在のロジバンコミュニティでは一般的に{badna}と言うとバナナを指すことが多い気がします。,,,,,,2,DD,もの,もの,-,-,-
badri,TRUE,,@1は@2《こと》について悲しい；@2《こと》は@1を悲しませる,悲しい、落胆する、憂鬱な、不幸な,@1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about @2 (abstraction).,悲しむ者、落胆する者、憂鬱な人,悲しみの原因,,,,,-dri-,,,,,,,,,FF,こと,こと,-,-,-
bajra,TRUE,,@1は@2〈表面〉を@3で@4〈調子〉で走る,走る,@1 runs on surface @2 using limbs @3 with gait @4.,走るもの,トラック、走るための地面,走るための足,走るときの調子,,,-baj-,,{bajra@3} は足、腕、ひれなどが使えます。厳密に言うと肢であるものは {bajra@3} に使えます。,,,,走るのは苦手…,場をじらして走ることをバジラ走りという。,,,,,,,
bakfu,TRUE,,@1は@2〈内容〉を@3で結んだ束［パッケージ、まとまり］,束、パッケージ、まとまり,"@1 is a bundle/package/cluster/clump/pack [shape/form] containing @2, held together by @3.",束、パッケージ、まとまり,まとめたもの,縛るもの,,,,-baf-,,,,,,いいくにつくろう鎌倉幕府✨,「しりとりのルール、何にする？」「じゃあ、幕府縛りで」,dacti,DDD,もの,もの,もの,-,-
bakni,TRUE,生物、動物,@1は@2〈種類〉のウシ属の動物である,牛、ウシ,@1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed @2.,牛、ウシ属動物,ウシ属の種類・品種,,,,,-bak-,,,,,,牛乳はすき,,2,DD,もの,もの,-,-,-
bakri,FALSE,,,,@1 is a quantity of/contains/is made of chalk from source @2 in form @3.,,,,,,,,,,,,,,,,,,,,,
baktu,TRUE,,@1は@2〈内容〉@3〈素材〉のバケツ［桶、缶、水槽］,バケツ、桶、缶、水槽,"@1 is a bucket/pail/can/deep, solid, wide-topped container of contents @2, made of material @3.",バケツ、桶、水槽,バケツ［桶、缶、水槽］の中身,バケツ［桶、缶、水槽］の材料,,,,,,{tansi} よりも底が深いです。深さのある程度頑丈な入れ物は {baktu} といえます。,,,,,バック・トゥー・ザ・バケツ,dacti,DDD,もの,もの,もの,-,-
balji,TRUE,生物、植物,@1は@2〈植物種〉の球根［球茎、鱗茎］である,球根、球茎、鱗茎,"@1 is a bulb [body-part] of plant/species @2; [metaphor: rounded, bulgy].",球根、球茎、鱗茎,球根［球茎、鱗茎］のある植物,,,,,,,,,,,ようちえんでチューリップを育てたことがある,,2,DD,もの,もの,-,-,-
balni,TRUE,,@1は@2〈構造体〉のバルコニー［さじき、ベランダ、張り出し］,バルコニー、さじき、ベランダ、張り出し,@1 is a balcony/overhang/ledge/shelf of building/structure @2.,バルコニー、さじき、ベランダ、張り出し,バルコニー［さじき、ベランダ、張り出し］の構造物,,,,,,,,,,,,,,,,,,,
balre,TRUE,,@1は@2〈武器・道具〉の刃,刃,@1 is a blade of tool/weapon @2.,刃,刃物、切れ物,,,,,-ba'e-,,,,,,,,,,,,,,
balvi,TRUE,時間,@1は@2よりも未来［以後］である；@1は（時系列的に）後者；@2は（時系列的に）前者,未来、後継者、未来人、継承者、続編,@1 is in the future of/later than/after @2 in time sequence; @1 is latter; @2 is former.,後継者、未来人、継承者、続編,先駆者、先人、先代,,,,,-bav-,,時間的な順序のみを表します。時間的な順序でない場合は{lidne}を使用します。@1が@2に重複しうる点でアオリスト的。非アオリスト的未来は{cfabalvi}で表します。,,,,未来はだれにもわからない、ぼくは将来なにになれるかな…,未来人もがんばルビィ！,,,,,,,
